"Rank","Restaurant","Content","Sales","YOY_Sales","Units","YOY_Units","Headquarters","Segment_Category"
1,"McDonald's",NA,40412,"4.9%",13846,"-0.5%",NA,"Quick Service & Burger"
2,"Starbucks",NA,21380,"8.6%",15049,"3.0%",NA,"Quick Service & Coffee Cafe"
3,"Chick-fil-A","While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.",11320,"13.0%",2470,"5.0%",NA,"Quick Service & Chicken"
4,"Taco Bell",NA,11293,"9.0%",6766,"2.7%",NA,"Quick Service & Mexican"
5,"Burger King",NA,10204,"2.7%",7346,"0.2%",NA,"Quick Service & Burger"
6,"Subway",NA,10200,"-2.0%",23801,"-4.0%",NA,"Quick Service & Sandwich"
7,"Wendy's",NA,9762,"4.2%",5852,"0.7%",NA,"Quick Service & Burger"
8,"Dunkin'","Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.",9228,"5.0%",9630,"2.2%",NA,"Quick Service & Coffee Cafe"
9,"Domino's",NA,7044,"6.9%",6126,"4.3%",NA,"Quick Service & Pizza"
10,"Panera Bread",NA,5890,"4.0%",2160,"3.2%",NA,"Fast Casual & Bakery Cafe"
11,"Pizza Hut","The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.",5558,"0.6%",7306,"-2.4%",NA,"Quick Service & Pizza"
12,"Chipotle Mexican Grill",NA,5509,"14.8%",2584,"5.3%",NA,"Fast Casual & Mexican"
13,"Sonic Drive-In","The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""",4687,"4.6%",3526,"-2.1%",NA,"Quick Service & Burger"
14,"KFC",NA,4546,"2.5%",4065,"-0.2%",NA,"Quick Service & Chicken"
15,"Olive Garden","Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.",4287,"5.0%",866,"1.3%",NA,"Casual Dining & Italian/Pizza"
16,"Applebee's",NA,4085,"-3.0%",1665,"-1.7%",NA,"Casual Dining & Varied Menu"
17,"Panda Express","Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). ""They continue to have just strong year after strong year, and there's never any competition in their segment,"" said Schimpf.",3946,"12.0%",2209,"4.9%",NA,"Fast Casual & Asian/Noodle"
18,"Arby's",NA,3884,"1.9%",3359,"0.9%",NA,"Quick Service & Sandwich"
19,"Popeyes Louisiana Kitchen",NA,3812,"18.3%",2476,"5.5%",NA,"Quick Service & Chicken"
20,"Little Caesars","The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for ""at least $5 less"" than its competitors.",3811,"2.7%",4237,"-0.6%",NA,"Quick Service & Pizza"
21,"Dairy Queen",NA,3760,"2.9%",4381,"-0.6%",NA,"Quick Service & Frozen Desserts"
22,"Buffalo Wild Wings",NA,3669,"-0.1%",1206,"-0.2%",NA,"Casual Dining & Sports Bar"
23,"Chili's Grill & Bar",NA,3563,"2.2%",1242,"-0.7%",NA,"Casual Dining & Varied Menu"
24,"Jack in the Box",NA,3504,"1.1%",2243,"0.3%",NA,"Quick Service & Burger"
25,"IHOP",NA,3266,"2.0%",1710,"0.3%",NA,"Family Dining & Family Style"
26,"Texas Roadhouse",NA,3016,"11.0%",553,"3.8%",NA,"Casual Dining & Steak"
27,"Denny's",NA,2691,"1.1%",1558,"-1.5%",NA,"Family Dining & Family Style"
28,"Papa John's",NA,2638,"-2.7%",3142,"-1.8%",NA,"Quick Service & Pizza"
29,"Outback Steakhouse",NA,2635,"0.9%",724,"-1.2%",NA,"Casual Dining & Steak"
30,"Whataburger",NA,2556,"5.8%",830,"0.6%",NA,"Quick Service & Burger"
31,"Red Lobster",NA,2490,"1.6%",679,"0.1%",NA,"Casual Dining & Seafood"
32,"Cracker Barrel","Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.",2482,"1.8%",660,"0.8%",NA,"Family Dining & Family Style"
33,"The Cheesecake Factory",NA,2180,"2.5%",206,"2.5%",NA,"Casual Dining & Varied Menu"
34,"Jimmy John's Gourmet Sandwiches",NA,2105,"-1.6%",2787,"-0.5%",NA,"Fast Casual & Sandwich"
35,"Hardee's",NA,2020,"-4.0%",1820,"-1.4%",NA,"Quick Service & Burger"
36,"Zaxby's",NA,1886,"6.0%",910,"1.3%",NA,"Fast Casual & Chicken"
37,"LongHorn Steakhouse",NA,1867,"6.3%",530,"1.9%",NA,"Casual Dining & Steak"
38,"Culver's","One of the country's fastest-growing chains over the past five years continued that trajectory in 2019, increasing sales by 13.9% and unit count by 6.7%. Because more than half of its sales come from takeout, it was working to improve its drive-thru technology and add mobile ordering.",1795,"13.9%",732,"6.7%",NA,"Quick Service & Burger"
39,"Golden Corral",NA,1746,"0.8%",483,"-1.2%",NA,"Quick Service & Family Casual"
40,"Five Guys Burgers and Fries",NA,1661,"7.4%",1368,"0.7%",NA,"Fast Casual & Burger"
41,"Red Robin Gourmet Burgers and Brews","A tumultuous year for the burger chain included the retirement of CEO Denny Marie Post, who had been with Red Robin since 2011, and continued attempts by activist investors to force a sale of the company. It named Paul Murphy as its new CEO in September.",1548,"-0.3%",556,"-3.0%",NA,"Casual Dining & Varied Menu"
42,"Raising Cane's Chicken Fingers",NA,1466,"23.8%",457,"14.3%",NA,"Fast Casual & Chicken"
43,"Carl's Jr.",NA,1423,"-2.5%",1095,"-2.3%",NA,"Quick Service & Burger"
44,"Wingstop","2019 marked Wingstop's 16th consecutive year of comps growth. In October, it said it planned to broaden its offerings to include whole wings to take advantage of lower commodity prices on whole chickens.",1363,"19.0%",1231,"9.5%",NA,"Fast Casual & Chicken"
45,"Waffle House","Waffle House",1344,"3.4%",1959,"1.2%",NA,"Family Dining & Family Style"
46,"Jersey Mike's Subs",NA,1340,"16.7%",1667,"11.6%",NA,"Fast Casual & Sandwich"
47,"Bojangles'",NA,1331,"2.7%",746,"-1.3%",NA,"Quick Service & Chicken"
48,"BJ's Restaurant & Brewhouse","BJ's Restaurants' bullish approach to off-premise has paid off, helping it to pass TGI Fridays and become the No. 10 casual-dining chain. As of July, delivery sales at the chain were growing at a 20% clip, and the chain reported that takeout and catering sales were increasing as well. BJ's also overhauled its back-of-house operations in 2019 to make things more efficient and easier on employees.",1161,"4.0%",208,"3.0%",NA,"Casual Dining & Varied Menu"
49,"TGI Fridays",NA,1085,"-8.5%",385,"-7.9%",NA,"Casual Dining & Varied Menu"
50,"In-N-Out Burger",NA,957,"4.6%",351,"3.5%",NA,"Quick Service & Burger"
51,"Steak 'n Shake","As of August, the chain had temporarily closed more than 100 locations with plans to refranchise them to single-store operators. And in early 2020, it announced plans to convert about 100 units to counter service. Prior to the coronavirus crisis, it was named in a Fitch Ratings report as a chain at risk of a Chapter 11 filing.",950,"-7.7%",576,"-3.0%",NA,"Quick Service & Burger"
52,"P.F. Chang's",NA,917,"1.4%",221,"0.0%",NA,"Casual Dining & Asian"
53,"Qdoba Mexican Eats",NA,901,"5.9%",730,"-2.9%",NA,"Fast Casual & Mexican"
54,"El Pollo Loco",NA,894,"3.0%",482,"-0.4%",NA,"Quick Service & Chicken"
55,"Krispy Kreme",NA,887,"4.4%",364,"4.0%",NA,"Quick Service & Snack"
56,"Hooters",NA,858,"0.4%",341,"0.0%",NA,"Casual Dining & Sports Bar"
57,"Del Taco",NA,850,"4.0%",596,"2.8%",NA,"Quick Service & Mexican"
58,"Firehouse Subs",NA,832,"4.8%",1155,"1.9%",NA,"Fast Casual & Sandwich"
59,"Bob Evans",NA,795,"-4.2%",483,"-1.4%",NA,"Family Dining & Family Style"
60,"Moe's Southwest Grill",NA,749,"2.0%",730,"1.5%",NA,"Fast Casual & Mexican"
61,"Papa Murphy's Pizza","Though the chain saw declines in both sales and units in 2019, it remains beloved by consumers. Guests surveyed by Technomic named it their favorite limited-service pizza chain as well as a leader in tech-enabled ordering.",748,"-5.9%",1329,"-5.1%",NA,"Quick Service & Pizza"
62,"Ruby Tuesday",NA,731,"-11.4%",451,"-8.1%",NA,"Casual Dining & Varied Menu"
63,"McAlister's Deli",NA,725,"7.0%",460,"3.6%",NA,"Fast Casual & Sandwich"
64,"Cheddar's Scratch Kitchen",NA,724,"0.6%",175,"2.9%",NA,"Casual Dining & Varied Menu"
65,"Church's Chicken",NA,716,"-5.2%",1032,"-5.0%",NA,"Quick Service & Chicken"
66,"Tim Hortons","On the other side of that equation is Tim Hortons, which saw its consumer approval ratings slip by nearly 6 points in 2019, according to Technomic. A turnaround plan includes a renewed focus on the chain's core coffee and breakfast platforms along with changes to its loyalty program and a $100 million investment in drive-thru menu boards.",714,"-3.5%",715,"-1.7%","Toronto, ON","Quick Service & Coffee Cafe"
67,"Ruth's Chris Steak House",NA,703,"1.6%",135,"1.5%","Winter Park, FL","Steak"
68,"Carrabba's Italian Grill",NA,653,"-1.0%",225,"-0.9%",NA,"Casual Dining & Italian/Pizza"
69,"Jason's Deli",NA,647,"-1.1%",283,"1.8%",NA,"Fast Casual & Sandwich"
70,"Marco's Pizza",NA,628,"4.8%",915,"3.6%",NA,"Quick Service & Pizza"
71,"Shake Shack",NA,622,"31.8%",173,"27.2%",NA,"Fast Casual & Burger"
72,"California Pizza Kitchen",NA,621,"-3.3%",199,"-0.5%",NA,"Casual Dining & Italian/Pizza"
73,"Baskin-Robbins",NA,615,"0.6%",2524,"-1.0%",NA,"Quick Service & Frozen Desserts"
74,"Yard House",NA,609,"6.6%",79,"9.7%",NA,"Casual Dining & Varied Menu"
75,"Bonefish Grill",NA,587,"-0.9%",197,"0.0%",NA,"Casual Dining & Seafood"
76,"White Castle",NA,579,"2.4%",371,"-0.5%",NA,"Quick Service & Burger"
77,"Tropical Smoothie Cafe",NA,576,"21.8%",834,"16.0%",NA,"Quick Service & Beverage"
78,"Dave & Buster's",NA,571,"6.5%",132,"10.9%","Dallas, TX","Sports Bar"
79,"Dutch Bros. Coffee",NA,567,"15.0%",369,"13.2%",NA,"Quick Service & Coffee Cafe"
80,"Captain D's Seafood Kitchen",NA,561,"3.1%",540,"2.1%",NA,"Quick Service & Seafood"
81,"Auntie Anne's",NA,559,"0.2%",1288,"-0.5%",NA,"Quick Service & Snack"
82,"First Watch",NA,558,"35.1%",368,"24.7%",NA,"Family Dining & Family Style"
83,"Perkins Restaurant & Bakery","After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.",541,"-9.5%",309,"-13.0%",NA,"Family Dining & Family Style"
84,"Freddy's Frozen Custard & Steakburgers",NA,535,"12.9%",368,"12.2%",NA,"Fast Casual & Burger"
